"analysis_id","pair_id","construct_x","construct_y","analysis_type","k","N","mean_r","var_r","var_e","var_res","sd_r","se_r","sd_e","sd_res","CI_LL_95","CI_UL_95","CR_LL_80","CR_UL_80"
77,77,"brain","heart","Overall",3,1799,0.114384223262816,0.00445017374119591,0.00163226860234545,0.00281790513885047,0.0667096225532412,0.0385148185386522,0.0404013440660759,0.0530839442661382,-0.0513316658583211,0.280100112383953,0.014288178028909,0.214480268496723
78,78,"brain","kidney","Overall",3,1799,-0.0946860790623032,0.0102558616573496,0.00164591959304888,0.0086099420643007,0.101271228181303,0.0584689708516394,0.0405699345950777,0.0927897734898663,-0.346257756102751,0.156885597978145,-0.269652153887498,0.080279995762892
79,79,"brain","liver","Overall",3,1799,-0.269009619652054,0.0899105625268208,0.00144206281931518,0.0884684997075056,0.299850900493597,0.17311899811673,0.0379745022260355,0.297436547363476,-1.01388054947049,0.475861310166385,-0.829861351954529,0.29184211265042
80,80,"brain","lung","Overall",3,1799,0.0447842646248557,0.051369637386853,0.00166911865007169,0.0497005187367814,0.226648709210648,0.130855693274249,0.0408548485503458,0.222936131519279,-0.51824234124485,0.607810870494562,-0.375588136358553,0.465156665608265
81,81,"brain","lymph node","Overall",3,1799,0.0364430435614598,0.00359034277418431,0.00167138573715382,0.00191895703703049,0.0599194690746198,0.0345945215999312,0.0408825847660568,0.0438059018515826,-0.112405169234861,0.18529125635778,-0.0461581571191973,0.119044244242117
82,82,"brain","nerve","Overall",3,1799,-0.534252521213104,0.0339997995327504,0.000855708299074955,0.0331440912336755,0.184390345551904,0.10645781564036,0.0292524921857088,0.182055187329764,-0.992303532281262,-0.0762015101449451,-0.877539074575939,-0.190965967850268
83,83,"brain","pancreas","Overall",3,1799,0.0342891114170571,0.032152219296973,0.00167189573211858,0.0304803235648544,0.179310399299575,0.103524907304109,0.0408888216034478,0.174586149407261,-0.411142613592027,0.479720836426141,-0.294913688975268,0.363491911809382
84,84,"brain","salivary gland","Overall",3,1799,0.32916086743548,0.0343043313105191,0.00133236402512853,0.0329719672853906,0.185214284844661,0.106933517212829,0.0365015619546415,0.181581847345462,-0.13093692230201,0.789258657172969,-0.013233147493471,0.671554882364431
85,85,"brain","skin","Overall",3,1799,0.0937535982636525,0.102381964712225,0.0016465033076627,0.100735461404563,0.31997181862193,0.184735815614466,0.0405771278882907,0.317388502319417,-0.701100463072421,0.888607659599726,-0.50471990109822,0.692227097625525
86,86,"brain","spleen","Overall",3,1799,0.151930201127912,0.0181053200911212,0.00159936118545507,0.0165059589056661,0.134556010981008,0.0776859491609673,0.0399920140209901,0.128475518701682,-0.182325460092702,0.486185862348526,-0.0903255601798698,0.394185962435694
87,87,"brain","stomach","Overall",3,1799,0.237418245999406,0.0521409003961288,0.00149223381867208,0.0506486665774567,0.228343820577936,0.131834366278459,0.0386294423810658,0.225052586249207,-0.329819249943397,0.804655741942209,-0.186944980294953,0.661781472293765
88,88,"heart","heart","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
89,89,"heart","kidney","Overall",3,1799,0.0914428426420851,0.0165095875333763,0.0016479253325865,0.0148616622007898,0.128489639790048,0.0741835281208623,0.0405946466000937,0.121908417268004,-0.227743117129589,0.410628802413759,-0.138429873448381,0.321315558732552
90,90,"heart","liver","Overall",3,1799,0.0170649536640355,0.0589226761379562,0.00167485821045025,0.057247817927506,0.242739935193936,0.140145966927291,0.0409250315876513,0.239265162377447,-0.585934473499052,0.620064380827123,-0.434097763186079,0.46822767051415
91,91,"heart","lung","Overall",3,1799,-0.0961029477258629,0.000750357068946896,0.0016450218055167,-0.000894664736569807,0.0273926462567401,0.0158151516901451,0.0405588683954164,0,-0.164150053316867,-0.0280558421348584,-0.0961029477258629,-0.0961029477258629
92,92,"heart","lymph node","Overall",3,1799,-0.0150224941826451,0.0101115831323586,0.00167507781300762,0.00843650531935096,0.100556367935395,0.0580562460962315,0.0409277144855124,0.0918504508391274,-0.264818359927602,0.234773371562312,-0.188217365231681,0.158172376866391
93,93,"heart","nerve","Overall",3,1799,0.0576489123351363,0.00903019796328989,0.00166471370156885,0.00736548426172104,0.0950273537634816,0.0548640682757239,0.0408009031955036,0.0858223995336942,-0.178412120796568,0.293709945466841,-0.104179356166134,0.219477180836407
94,94,"heart","pancreas","Overall",3,1799,0.123579326988569,0.00100396480083831,0.00162503879558884,-0.000621073994750532,0.031685403592795,0.0182935762936821,0.0403117699386772,0,0.0448684210116778,0.202290232965461,0.123579326988569,0.123579326988569
95,95,"heart","salivary gland","Overall",3,1799,0.172705308503904,0.0169995920039598,0.00157735441195264,0.0154222375920071,0.130382483501273,0.075276361947072,0.0397159213912084,0.124186301949962,-0.151182735713274,0.496593352721082,-0.0614626281342249,0.406873245142033
96,96,"heart","skin","Overall",3,1799,0.121495710510844,0.0623474719630392,0.00162672459860661,0.0607207473644326,0.249694757580209,0.144161335504172,0.040332674082022,0.246415801775033,-0.498780453220509,0.741771874242197,-0.343150381293546,0.586141802315234
97,97,"heart","spleen","Overall",3,1799,-0.074245732702778,0.0235251510072047,0.00165740920727598,0.0218677417999287,0.153379108770408,0.0885534697366601,0.0407112909065284,0.147877455347084,-0.455260560994005,0.306769095588449,-0.353086136597535,0.204594671191979
98,98,"heart","stomach","Overall",3,1799,0.275664773865413,0.0027079824640465,0.00143081461205464,0.00127716785199186,0.0520382788343975,0.0300443142932042,0.0378261101893208,0.0357374852499706,0.146394522958307,0.404935024772519,0.208277525431257,0.343052022299569
99,99,"kidney","kidney","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
100,100,"kidney","liver","Overall",3,1799,0.0658796115540328,0.0378095845083789,0.00166131903051263,0.0361482654778663,0.194446868085806,0.11226395163242,0.040759281525962,0.190126971989421,-0.41715318638966,0.548912409497726,-0.29262724492646,0.424386468034525
101,101,"kidney","lung","Overall",3,1799,-0.0383710804043874,0.0341829489857785,0.00167090295477113,0.0325120460310074,0.184886313678916,0.106744162972,0.040876679840358,0.180310970356791,-0.497654144600684,0.420911983791909,-0.378368706702023,0.301626545893248
102,102,"kidney","lymph node","Overall",3,1799,0.0910133727214402,0.0476387257307517,0.00164818578167821,0.0459905399490735,0.218262973797096,0.126014186675882,0.0405978543974705,0.214454050903856,-0.4511819115667,0.63320865700958,-0.31336506367067,0.495391809113551
103,103,"kidney","nerve","Overall",3,1799,-0.0613840543588166,0.0126305287476629,0.00166322881668326,0.0109672999309796,0.112385625182507,0.0648858709521647,0.0407827024200611,0.104724877326162,-0.340565424133319,0.217797315415686,-0.258855176802172,0.136087068084539
104,104,"kidney","pancreas","Overall",3,1799,0.146480159025096,0.0475042304628232,0.00160469077656414,0.045899539686259,0.21795465230828,0.125836177181317,0.0400585917945718,0.214241778573319,-0.394949212225333,0.687909530275525,-0.257498012821999,0.550458330872191
105,105,"kidney","salivary gland","Overall",3,1799,-0.0609789381375451,0.00872399526693526,0.00166339434108898,0.00706060092584628,0.0934023300937148,0.0539258604225445,0.0407847317152998,0.0840273820004306,-0.293003188688695,0.171045312413605,-0.219422489118497,0.0974646128434067
106,106,"kidney","skin","Overall",3,1799,0.10354146701774,0.00981763936756942,0.0016400940472748,0.00817754532029462,0.0990840015722489,0.0572061749801232,0.0404980746119467,0.09042978115806,-0.142596837919012,0.349679771954493,-0.0669745635904724,0.274057497625953
107,107,"kidney","spleen","Overall",3,1799,-0.126040381520844,0.0035256060339447,0.00162301185044501,0.00190259418349969,0.0593768139423521,0.0342812195132393,0.040286621233916,0.0436187366105403,-0.273540564238624,0.0214598011969358,-0.208288660038452,-0.0437921030032359
108,108,"kidney","stomach","Overall",3,1799,-0.0897686413828226,0.0167112755571333,0.00164893382836633,0.015062341728767,0.129272098912075,0.0746352811055944,0.0406070662368797,0.122728732286971,-0.410898337367427,0.231361054601782,-0.321188158306944,0.141650875541299
109,109,"liver","liver","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
110,110,"liver","lung","Overall",3,1799,-0.424937818315874,0.0272402553821855,0.00112525893135532,0.0261149964508302,0.165046221956716,0.0952894806754406,0.0335448793611681,0.161601350399154,-0.834935362460467,-0.0149402741712805,-0.729656246892261,-0.120219389739486
111,111,"liver","lymph node","Overall",3,1799,0.540029055808988,0.00697234345303574,0.00084091026592787,0.00613143318710787,0.0835005595971412,0.0482090705608939,0.0289984528195535,0.0783034685509388,0.332602166761474,0.747455944856503,0.392378619534865,0.687679492083112
112,112,"liver","nerve","Overall",3,1799,0.315255370977634,0.134646956586419,0.00135927855216872,0.13328767803425,0.366942715674285,0.211854475671721,0.0368683950310929,0.365085850224643,-0.596280867080937,1.2267916090362,-0.373157110113303,1.00366785206857
113,113,"liver","pancreas","Overall",3,1799,-0.252799336728114,0.00952119770136892,0.00146848175331204,0.00805271594805687,0.0975766247693007,0.0563358905771709,0.0383207744351813,0.0897369263350204,-0.495193110102846,-0.0104055633533828,-0.422008907752996,-0.0835897657032326
114,114,"liver","salivary gland","Overall",3,1799,0.42970610328581,0.0318489373454417,0.00111409446701226,0.0307348428784295,0.178462705755129,0.103035491208033,0.0333780536732185,0.175313555888954,-0.013619834221508,0.873032040793129,0.0991316920777935,0.760280514493827
115,115,"liver","skin","Overall",3,1799,0.423535790503994,0.150123388954472,0.00112852843506613,0.148994860519406,0.38745759633084,0.223698747541176,0.0335935772889124,0.385998523986046,-0.538962236245583,1.38603381725357,-0.304310006398756,1.15138158740675
116,116,"liver","spleen","Overall",3,1799,-0.516131767409765,0.196729825567904,0.000901901570716928,0.195827923997187,0.443542360511264,0.256079301238181,0.0300316761223367,0.442524489714623,-1.61795207191456,0.585688537095027,-1.35056394745864,0.318300412639106
117,117,"liver","stomach","Overall",3,1799,0.355193882905118,0.0910022177872756,0.00127965291562855,0.0897225648716471,0.301665738504185,0.174166795330679,0.0357722366595738,0.299537251225364,-0.394185354456143,1.10457312026638,-0.209618974586705,0.920006740396941
118,118,"lung","lung","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
119,119,"lung","lymph node","Overall",3,1799,-0.191294889186399,0.00446082087049375,0.00155542817045095,0.0029053927000428,0.0667893769284738,0.0385608647486617,0.0394389169533209,0.0539016947789474,-0.357208899158728,-0.0253808792140701,-0.292932899574776,-0.0896568787980227
120,120,"lung","nerve","Overall",3,1799,0.136989263122458,0.0998705184565385,0.0016135266853565,0.098256991771182,0.316022971406413,0.182455947611598,0.0401687277039801,0.313459713154948,-0.648055317927609,0.922033844172525,-0.454076040345952,0.728054566590867
121,121,"lung","pancreas","Overall",3,1799,0.092388341073135,0.0307430786006899,0.001647347693985,0.0290957309067049,0.175337042865134,0.101230888897098,0.0405875312625073,0.170574707699309,-0.343173019374929,0.527949701521199,-0.229250412295118,0.414027094441388
122,122,"lung","salivary gland","Overall",3,1799,-0.387093584529438,0.0151378884455697,0.00121124190666791,0.0139266465389018,0.123036126587152,0.071034940805141,0.0348029008369691,0.11801121361507,-0.692732266492269,-0.0814549025666066,-0.609617662938159,-0.164569506120717
123,123,"lung","skin","Overall",3,1799,-0.189842535553398,0.0161697924539173,0.00155721609508852,0.0146125763588287,0.127160498795488,0.073416148209862,0.0394615774531192,0.120882489876858,-0.505726726056252,0.126041654949455,-0.417780744403107,0.0380956732963102
124,124,"lung","spleen","Overall",3,1799,0.114168853619818,0.000145935689243258,0.00163243142833026,-0.00148649573908701,0.0120803844824268,0.00697461323284328,0.0404033591218634,0,0.0841595149545783,0.144178192285058,0.114168853619818,0.114168853619818
125,125,"lung","stomach","Overall",3,1799,-0.322331420342216,0.0172271218559841,0.00134569414311502,0.0158814277128691,0.131252130862642,0.0757784530852584,0.0366837040539122,0.126021536702538,-0.648379788365695,0.00371694768126224,-0.559959908816653,-0.0847029318677791
126,126,"lymph node","lymph node","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
127,127,"lymph node","nerve","Overall",3,1799,0.0559547019664313,0.0322968816469773,0.00166535671005084,0.0306315249369265,0.179713331856536,0.103757540524335,0.0408087822662088,0.17501864168404,-0.390477963002691,0.502387366935554,-0.274063613683818,0.385973017616681
128,128,"lymph node","pancreas","Overall",3,1799,-0.0975254908156306,0.00987643144657287,0.00164410725955016,0.00823232418702271,0.099380236700125,0.0573772064109459,0.0405475925247129,0.0907321563009648,-0.344399684605085,0.149348702973824,-0.268611685461204,0.0735607038299427
129,129,"lymph node","salivary gland","Overall",3,1799,0.264162633685054,0.0236495022865811,0.00145010884524008,0.0221993934413411,0.153783946777878,0.0887872030692508,0.0380802947105203,0.148994608766026,-0.117857867967677,0.646183135337786,-0.016784294898128,0.545109562268237
130,130,"lymph node","skin","Overall",3,1799,0.282097146565328,0.128853315927541,0.00141972507805017,0.127433590849491,0.358961440725242,0.207246484431414,0.0376792393507376,0.356978417904348,-0.609612505404476,1.17380679853513,-0.391027813534431,0.955222106665088
131,131,"lymph node","spleen","Overall",3,1799,-0.670784407216072,0.188629326807401,0.000507028822567569,0.188122297984833,0.434314778481461,0.250751754269304,0.0225173005168819,0.433730674479951,-1.74968212721236,0.408113312780217,-1.48863481023844,0.147065995806297
132,132,"lymph node","stomach","Overall",3,1799,0.201663197119968,0.123450957724308,0.00154229996683253,0.121908657757475,0.351355884715637,0.202855414621932,0.0392721270983955,0.349154203408,-0.671153206347546,1.07447960058748,-0.456708282638923,0.860034676878859
133,133,"nerve","nerve","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
134,134,"nerve","pancreas","Overall",3,1799,-0.170183374085029,0.0488396360858336,0.0015801675471083,0.0472594685387253,0.2209969141998,0.127592627903331,0.0397513213253132,0.217392429810068,-0.719170142829203,0.378803394659146,-0.580102470877881,0.239735722707824
135,135,"nerve","salivary gland","Overall",3,1799,0.055425453745089,0.000160376128117936,0.00166555367058493,-0.00150517754246699,0.012663969682447,0.00731154630517001,0.0408111954074483,0,0.0239664090764597,0.0868844984137183,0.055425453745089,0.055425453745089
136,136,"nerve","skin","Overall",3,1799,0.143230192441224,0.0111110471706089,0.0016077803105985,0.00950326686001044,0.105408952042077,0.0608578868364896,0.0400971359400955,0.0974847006458472,-0.118620160482582,0.40508054536503,-0.0405887219284274,0.327049106810875
137,137,"nerve","spleen","Overall",3,1799,-0.258552646352805,0.0298344543073428,0.00145926592261742,0.0283751883847254,0.172726530409612,0.0997237088281799,0.0382003392997683,0.168449364453314,-0.687629134363114,0.170523841657504,-0.576183814063478,0.0590785213578682
138,138,"nerve","stomach","Overall",3,1799,0.0992438954066128,0.0106103838004277,0.00164298493257094,0.00896739886785674,0.103006717258768,0.0594709559376891,0.0405337505366939,0.0946963508687465,-0.156638975499495,0.355126766312721,-0.0793172562011505,0.277805047014376
139,139,"pancreas","pancreas","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
140,140,"pancreas","salivary gland","Overall",3,1799,-0.424532680701927,0.00543004986434452,0.00112620432744379,0.00430384553690072,0.073688872052329,0.0425442901156921,0.0335589679138646,0.0656037006341923,-0.607585986703463,-0.241479374700392,-0.548236204940246,-0.300829156463608
141,141,"pancreas","skin","Overall",3,1799,-0.12280863436745,0.0414537424318168,0.00162566558252015,0.0398280768492967,0.203601921483607,0.117549624176085,0.0403195434314447,0.199569729291034,-0.628583845709707,0.382966576974808,-0.499120924770794,0.253503656035894
142,142,"pancreas","spleen","Overall",3,1799,0.0730133447779051,0.021329848728541,0.00165801417125625,0.0196718345572848,0.146047419451838,0.0843205169349687,0.0407187201573951,0.140256317352499,-0.289788557586224,0.435815247142034,-0.191456503499973,0.337483193055783
143,143,"pancreas","stomach","Overall",3,1799,-0.229637828402566,0.00395451499110173,0.00150374901381132,0.00245076597729041,0.062884934532062,0.036306633880058,0.0387782028182241,0.0495052116174692,-0.385852665774612,-0.0734229910305201,-0.322985750639333,-0.136289906165799
144,144,"salivary gland","salivary gland","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
145,145,"salivary gland","skin","Overall",3,1799,0.674684394359527,0.0691018936413468,0.000497401131221638,0.0686044925101251,0.262872390412814,0.151769445367358,0.0223024915922333,0.26192459317545,0.0216731759571003,1.32769561276195,0.18079464504249,1.16857414367656
146,146,"salivary gland","spleen","Overall",3,1799,-0.17878667815813,0.000572980688467832,0.00157041139404798,-0.000997430705580149,0.0239370150283579,0.0138200420702186,0.0396284164968521,0,-0.238249519896809,-0.119323836419452,-0.17878667815813,-0.17878667815813
147,147,"salivary gland","stomach","Overall",3,1799,0.896306682232183,0.0384850282662057,6.47962271329932e-05,0.0384202320390727,0.196176013483315,0.113262274193139,0.00804961037150204,0.196010795720727,0.408978448997439,1.38363491546693,0.52670518132579,1.26590818313858
148,148,"skin","skin","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
149,149,"skin","spleen","Overall",3,1799,-0.238465116094838,0.0630051129357544,0.00149065859363349,0.0615144543421209,0.251008192965398,0.144919647777374,0.0386090480798671,0.248021076407069,-0.862004034198487,0.385073802008811,-0.706138142773838,0.229207910584162
150,150,"skin","stomach","Overall",3,1799,0.718741700458443,0.0102655779901617,0.000391618274052241,0.00987395971610944,0.101319188657241,0.0584966608453328,0.0197893474892994,0.0993678001975964,0.467050882991043,0.970432517925842,0.531371979521615,0.90611142139527
151,151,"spleen","spleen","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
152,152,"spleen","stomach","Overall",3,1799,-0.217643597770659,0.0112918810001879,0.00152083006174016,0.00977105093844778,0.106263262702535,0.0613511233262765,0.0389978212435024,0.0988486263862467,-0.481616176023658,0.0463289804823405,-0.4040343551805,-0.0312528403608174
153,153,"stomach","stomach","Overall",3,1799,1,2.0584815432539e-06,4.7103904635399e-09,2.05377115279036e-06,0.00143474093245223,0.00082834806356867,6.86322844114918e-05,0.00143309844490543,0.997273823001353,1.00440201111515,0.998135640715581,1.00354019340092
